"RiverKm","Bank","DateTimeDeploy","DateTimeRetrieve","WatTempSet","MeanVelSet","SubstVelSet","DepthSet","Dom_Subst","No_Eggs","DepthPull","MeanVelPull","SubstVelPull","Comments","WatTempPull"
2,"Left","2010-12-14 11:25:00","2010-12-22 12:35:00",4.5,1.06,0.87,1.4,,0,1.4,1.87,1,,4.8
2,"Left","2010-12-22 12:37:00","2010-12-28 11:16:00",4.8,1.87,1,1.4,,0,1.4,1.5,,"Velocity meter not functioning; estimated mean column velocity",4.6
3.3,"Left","2010-10-30 11:15:00","2010-11-09 10:30:00",10.7,1.54,1.33,1.3,"G",0,0.9,1.32,1.15,,8.800000000000001
3.3,"Left","2010-11-09 10:39:00","2010-11-20 11:27:00",8.800000000000001,1.32,1.15,0.9,,0,0.7,1.26,0.99,,7.1
3.3,"Left","2010-11-20 11:34:00","2010-11-30 13:53:00",7.1,1.26,0.99,0.7,,0,0.8,1.11,0.87,,5.5
3.3,"Left","2010-11-30 13:55:00","2010-12-06 12:13:00",5.5,1.11,0.87,0.8,,0,0.7,1.42,0.95,,4.4
3.3,"Left","2010-12-06 12:18:00","2010-12-14 11:10:00",4.4,1.42,0.95,0.7,,0,0.8,1.2,1.07,,4.1
3.3,"Left","2010-12-14 11:14:00","2010-12-22 00:00:00",4.1,1.2,1.07,0.8,,0,,,,"Drifted with increased flow to below log jam. Irretrievable at current flows.",
3.7,"Right","2010-10-30 11:22:00","2010-11-09 10:19:00",10.7,0.7,0.5,1,"G",0,1.2,1.04,0.89,,8.300000000000001
3.7,"Right","2010-11-09 10:27:00","2010-11-20 11:11:00",8.300000000000001,1.04,0.89,1.2,,2,0.7,0.64,0.46,"Fertilized eggs with early development evident",5.4
3.7,"Right","2010-11-20 11:22:00","2010-11-30 13:43:00",5.4,0.64,0.46,0.7,,1,0.5,0.6,0.53,,4
3.7,"Right","2010-11-30 13:48:00","2010-12-06 12:07:00",4,0.6,0.53,0.5,,0,0.6,1.04,0.83,,3
